lake_id,survey_date,amphibian_species,amphibian_life_stage,amphibian_state,amphibian_number,amphibian_location,amphibian_voucher
10056,8/14/97,HYRE,Tadpole,Alive,316,in lake,0
10060,8/11/97,HYRE,SubAdult,Alive,1,in lake,0
10064,8/9/97,RAMU,Adult,Alive,1,in lake,0
10064,9/9/02,RAMU,Adult,Alive,3,in lake,0
10064,9/9/02,RAMU,SubAdult,Alive,8,in lake,0
10064,9/9/02,RAMU,Tadpole,Alive,3,in lake,0
10069,7/29/97,RAMU,Adult,Alive,5,fringing habitat,0
10069,7/29/97,RAMU,Adult,Alive,14,in lake,0
10069,7/29/97,RAMU,SubAdult,Alive,3,in lake,0
10069,7/29/97,RAMU,Tadpole,Alive,15,in lake,0
10069,9/8/02,RAMU,Adult,Alive,10,in lake,0
10069,9/8/02,RAMU,Adult,Alive,2,outlet,0
10069,9/8/02,RAMU,SubAdult,Alive,7,in lake,0
10069,9/8/02,RAMU,Tadpole,Alive,18,fringing habitat,0
10069,9/8/02,RAMU,Tadpole,Alive,2,in lake,0
10074,7/28/97,BUCA,Tadpole,Alive,3,in lake,0
10075,7/27/97,RAMU,Tadpole,Alive,135,in lake,0
10081,9/8/97,RAMU,Adult,Alive,43,in lake,0
10081,9/8/97,RAMU,Tadpole,Alive,1,in lake,0
10081,8/26/02,RAMU,Adult,Alive,10,in lake,0
10081,8/26/02,RAMU,SubAdult,Alive,3,in lake,0
10081,8/26/02,RAMU,Tadpole,Alive,41,in lake,0
10083,7/15/97,RAMU,Tadpole,Alive,43,in lake,0
10086,7/9/97,HYRE,Adult,Alive,2,in lake,0
10088,7/17/97,RAMU,Tadpole,Alive,103,in lake,0
10090,7/30/97,RAMU,Adult,Alive,5,fringing habitat,0
10090,7/30/97,RAMU,Adult,Alive,72,in lake,0
10090,7/30/97,RAMU,EggMass,Alive,1,fringing habitat,0
10090,7/30/97,RAMU,SubAdult,Alive,1,fringing habitat,0
10090,7/30/97,RAMU,SubAdult,Alive,14,in lake,0
10090,7/30/97,RAMU,Tadpole,Alive,3,fringing habitat,0
10090,7/30/97,RAMU,Tadpole,Alive,339,in lake,1
10090,8/3/02,RAMU,Adult,Alive,103,in lake,0
10090,8/3/02,RAMU,Adult,Alive,1,outlet,0
10090,8/3/02,RAMU,SubAdult,Alive,90,in lake,0
10090,8/3/02,RAMU,Tadpole,Alive,1000,fringing habitat,0
10090,8/3/02,RAMU,Tadpole,Alive,1120,in lake,10
10091,7/31/97,RAMU,Adult,Alive,16,in lake,0
10091,7/31/97,RAMU,SubAdult,Alive,7,in lake,0
10091,7/31/97,RAMU,Tadpole,Alive,16,in lake,0
10091,8/4/02,RAMU,Adult,Alive,28,in lake,0
10091,8/4/02,RAMU,Adult,Alive,2,outlet,0
10091,8/4/02,RAMU,SubAdult,Alive,25,in lake,0
10091,8/4/02,RAMU,Tadpole,Alive,335,in lake,0
10100,9/5/97,HYRE,Adult,Alive,1,in lake,0
10100,9/5/97,RAMU,Adult,Alive,1,fringing habitat,0
10100,9/5/97,RAMU,Adult,Alive,62,in lake,0
10100,9/5/97,RAMU,SubAdult,Alive,11,in lake,0
10100,9/5/97,RAMU,Tadpole,Alive,165,in lake,0
10100,8/14/02,HYRE,Adult,Alive,2,in lake,0
10100,8/14/02,RAMU,Adult,Alive,53,in lake,0
10100,8/14/02,RAMU,Adult,Alive,1,inlet,0
10100,8/14/02,RAMU,Adult,Alive,3,outlet,0
10100,8/14/02,RAMU,SubAdult,Alive,7,in lake,0
10100,8/14/02,RAMU,Tadpole,Alive,225,in lake,5
10101,9/4/97,HYRE,Adult,Alive,15,in lake,0
10101,9/4/97,HYRE,SubAdult,Alive,7,in lake,0
10101,9/4/97,HYRE,Tadpole,Alive,4,in lake,0
10101,9/4/97,RAMU,Adult,Alive,6,fringing habitat,0
10101,9/4/97,RAMU,Adult,Alive,20,in lake,0
10101,8/14/02,HYRE,SubAdult,Alive,10,fringing habitat,0
10101,8/14/02,HYRE,SubAdult,Alive,11,in lake,0
10101,8/14/02,HYRE,SubAdult,Dead,1,fringing habitat,0
10101,8/14/02,HYRE,Tadpole,Alive,45,fringing habitat,0
10101,8/14/02,HYRE,Tadpole,Alive,80,in lake,0
10101,8/14/02,RAMU,Adult,Alive,5,fringing habitat,0
10101,8/14/02,RAMU,Adult,Alive,26,in lake,0
10101,8/14/02,RAMU,Adult,Alive,4,inlet,0
10101,8/14/02,RAMU,Adult,Alive,3,outlet,0
10101,8/14/02,RAMU,SubAdult,Alive,7,fringing habitat,0
10101,8/14/02,RAMU,SubAdult,Alive,14,in lake,0
10101,8/14/02,RAMU,SubAdult,Alive,6,inlet,0
10101,8/14/02,RAMU,SubAdult,Alive,2,outlet,0
10101,8/14/02,RAMU,Tadpole,Alive,1,in lake,0
10101,8/14/02,RAMU,Tadpole,Alive,2,inlet,0
10102,9/4/97,HYRE,Adult,Alive,21,fringing habitat,0
10102,9/4/97,HYRE,SubAdult,Alive,4,in lake,0
10102,9/4/97,HYRE,Tadpole,Alive,25,fringing habitat,0
10102,9/4/97,RAMU,Adult,Alive,21,fringing habitat,0
10102,9/4/97,RAMU,Adult,Alive,94,in lake,0
10102,9/4/97,RAMU,Tadpole,Alive,2,fringing habitat,0
10102,9/4/97,RAMU,Tadpole,Alive,69,in lake,0
10102,8/14/02,RAMU,Adult,Alive,47,in lake,0
10102,8/14/02,RAMU,Adult,Alive,7,outlet,0
10102,8/14/02,RAMU,SubAdult,Alive,5,in lake,0
10102,8/14/02,RAMU,SubAdult,Alive,4,outlet,0
10102,8/14/02,RAMU,Tadpole,Alive,840,in lake,5
10110,7/30/02,HYRE,Tadpole,Alive,18,fringing habitat,0
10110,7/30/02,HYRE,Tadpole,Alive,16,in lake,0
10114,7/11/97,BUCA,Adult,Alive,1,fringing habitat,0
10114,7/11/97,BUCA,Adult,Alive,4,in lake,0
10115,7/10/97,BUCA,Adult,Alive,2,in lake,0
10123,8/25/01,RAMU,Adult,Alive,1,in lake,0
10128,7/30/01,HYRE,SubAdult,Alive,3,in lake,0
10130,8/22/01,HYRE,SubAdult,Alive,1,inlet,0
10132,8/26/01,HYRE,Adult,Alive,1,in lake,0
10141,8/27/01,HYRE,SubAdult,Alive,31,in lake,0
10141,8/27/01,HYRE,Tadpole,Alive,261,in lake,0
10146,8/24/02,HYRE,Tadpole,Alive,2,in lake,0
10157,8/22/01,HYRE,SubAdult,Alive,3,in lake,0
10162,8/21/01,HYRE,Tadpole,Alive,4,in lake,0
10163,7/20/01,HYRE,Tadpole,Alive,125,inlet,0
10165,7/20/01,HYRE,Tadpole,Alive,150,fringing habitat,0
10166,7/20/01,HYRE,SubAdult,Alive,3,in lake,0
10166,7/20/01,HYRE,Tadpole,Alive,1,in lake,0
10167,7/21/01,HYRE,Tadpole,Alive,461,fringing habitat,0
10167,7/21/01,HYRE,Tadpole,Alive,1,in lake,0
10168,8/22/01,HYRE,SubAdult,Alive,13,in lake,0
10169,8/22/01,HYRE,Adult,Alive,6,in lake,0
10169,8/22/01,HYRE,Tadpole,Alive,14,in lake,0
10171,7/16/01,BUCA,Adult,Alive,1,in lake,0
10171,7/16/01,BUCA,SubAdult,Alive,1,in lake,1
10171,7/16/01,BUCA,SubAdult,Dead,1,in lake,0
10171,7/16/01,BUCA,Tadpole,Alive,250,in lake,0
10171,7/16/01,HYRE,Tadpole,Alive,75,in lake,0
10172,7/13/00,HYRE,Tadpole,Alive,5,in lake,0
10173,7/18/01,BUCA,Tadpole,Alive,100,fringing habitat,0
10173,7/18/01,BUCA,Tadpole,Alive,1575,in lake,0
10173,7/18/01,BUCA,Tadpole,Alive,250,inlet,0
10173,7/18/01,BUCA,Tadpole,Alive,22,outlet,0
10174,7/17/01,BUCA,Tadpole,Alive,5,fringing habitat,0
10174,7/17/01,BUCA,Tadpole,Alive,47,in lake,0
10174,7/17/01,BUCA,Tadpole,Alive,10,outlet,0
10174,7/17/01,HYRE,Tadpole,Alive,1300,fringing habitat,0
10175,7/18/01,HYRE,Tadpole,Alive,180,fringing habitat,0
10176,7/17/01,HYRE,Tadpole,Alive,2,in lake,0
10177,7/10/01,HYRE,Tadpole,Alive,1350,in lake,0
10177,7/10/01,THEL,Adult,Alive,1,in lake,0
10178,7/10/01,HYRE,Tadpole,Alive,8,outlet,0
10180,7/11/01,HYRE,Tadpole,Alive,8,fringing habitat,0
10181,7/11/01,HYRE,Tadpole,Alive,5,fringing habitat,0
10181,7/11/01,HYRE,Tadpole,Alive,11,in lake,0
10181,7/11/01,HYRE,Tadpole,Alive,8,inlet,0
10183,7/14/01,HYRE,Tadpole,Alive,140,in lake,0
10189,8/20/97,RAMU,Adult,Alive,1,in lake,0
10193,8/18/97,HYRE,Adult,Alive,1,fringing habitat,0
10193,8/18/97,RAMU,Adult,Alive,1,in lake,0
10195,8/25/97,HYRE,Tadpole,Alive,16,in lake,0
10195,8/21/02,HYRE,Tadpole,Alive,29,in lake,0
10196,8/22/97,RAMU,Adult,Alive,128,in lake,0
10196,8/22/97,RAMU,SubAdult,Alive,2,in lake,0
10196,8/22/97,RAMU,Tadpole,Alive,91,in lake,0
10196,8/22/02,RAMU,Adult,Alive,8,in lake,0
10196,8/22/02,RAMU,SubAdult,Alive,57,in lake,0
10196,8/22/02,RAMU,Tadpole,Alive,590,in lake,0
10197,8/22/97,HYRE,Tadpole,Alive,5,in lake,0
10197,8/22/97,RAMU,Adult,Alive,17,in lake,0
10197,8/22/97,RAMU,SubAdult,Alive,51,in lake,0
10197,8/22/97,RAMU,Tadpole,Alive,551,in lake,0
10197,8/22/02,HYRE,SubAdult,Alive,1,in lake,0
10197,8/22/02,RAMU,Adult,Alive,2,in lake,0
10197,8/22/02,RAMU,SubAdult,Alive,8,in lake,0
10197,8/22/02,RAMU,Tadpole,Alive,38,in lake,1
10197,8/22/02,THEL,Adult,Alive,2,in lake,0
10197,8/22/02,THEL,SubAdult,Alive,1,in lake,0
10198,8/21/97,RAMU,Adult,Alive,5,in lake,0
10198,8/21/97,RAMU,Tadpole,Alive,154,in lake,0
10198,8/22/02,RAMU,Adult,Alive,2,in lake,0
10198,8/22/02,RAMU,SubAdult,Alive,12,in lake,0
10198,8/22/02,RAMU,Tadpole,Alive,603,in lake,4
10199,8/20/97,RAMU,Adult,Alive,4,in lake,0
10199,8/22/02,RAMU,Adult,Alive,2,in lake,0
10199,8/22/02,RAMU,SubAdult,Alive,1,in lake,0
10200,8/24/97,RAMU,Adult,Alive,14,in lake,0
10200,8/22/02,RAMU,Adult,Alive,1,in lake,0
10201,8/23/97,RAMU,Adult,Alive,186,in lake,0
10201,8/23/97,RAMU,SubAdult,Alive,87,in lake,0
10201,8/23/97,RAMU,Tadpole,Alive,282,in lake,0
10201,8/23/02,HYRE,Tadpole,Alive,6,in lake,0
10201,8/23/02,RAMU,Adult,Alive,31,in lake,0
10201,8/23/02,RAMU,SubAdult,Alive,23,in lake,0
10201,8/23/02,RAMU,Tadpole,Alive,614,in lake,0
10201,8/23/02,THEL,Adult,Alive,2,fringing habitat,0
10202,8/23/97,HYRE,Tadpole,Alive,30,fringing habitat,0
10202,8/23/97,RAMU,Adult,Alive,6,fringing habitat,0
10202,8/23/97,RAMU,Adult,Alive,30,in lake,0
10202,8/23/97,RAMU,SubAdult,Alive,61,in lake,0
10202,8/23/97,RAMU,Tadpole,Alive,2400,in lake,0
10202,8/23/02,RAMU,Adult,Alive,1,in lake,0
10202,8/23/02,RAMU,SubAdult,Alive,170,in lake,0
10202,8/23/02,RAMU,Tadpole,Alive,485,in lake,5
10202,8/23/02,THEL,Adult,Alive,4,in lake,0
10202,8/23/02,THEL,SubAdult,Alive,1,in lake,0
10203,8/7/02,HYRE,Tadpole,Alive,1,in lake,0
10206,7/15/97,HYRE,EggMass,Alive,2,in lake,0
10206,7/15/97,RAMU,Adult,Alive,43,fringing habitat,0
10206,7/15/97,RAMU,Adult,Alive,389,in lake,0
10206,7/15/97,RAMU,EggMass,Alive,10,in lake,0
10206,7/15/97,RAMU,SubAdult,Alive,121,in lake,0
10206,7/15/97,RAMU,Tadpole,Alive,782,in lake,0
10206,8/7/02,HYRE,Tadpole,Alive,20,in lake,0
10206,8/7/02,RAMU,Adult,Alive,107,in lake,0
10206,8/7/02,RAMU,Adult,Alive,40,inlet,0
10206,8/7/02,RAMU,Adult,Alive,3,outlet,0
10206,8/7/02,RAMU,SubAdult,Alive,184,in lake,0
10206,8/7/02,RAMU,SubAdult,Alive,281,inlet,0
10206,8/7/02,RAMU,Tadpole,Alive,1113,in lake,5
10206,8/7/02,RAMU,Tadpole,Alive,712,inlet,0
10206,8/7/02,THEL,Adult,Alive,1,in lake,0
10210,7/12/97,RAMU,Adult,Alive,15,in lake,0
10210,7/12/97,RAMU,SubAdult,Alive,19,in lake,0
10210,8/6/02,RAMU,Adult,Alive,6,in lake,0
10211,7/11/97,HYRE,Adult,Alive,2,in lake,0
10211,7/11/97,HYRE,Tadpole,Alive,40,fringing habitat,0
10211,7/11/97,HYRE,Tadpole,Alive,1,in lake,0
10211,7/11/97,RAMU,Adult,Alive,21,in lake,0
10211,7/11/97,RAMU,SubAdult,Alive,20,in lake,0
10211,7/11/97,RAMU,Tadpole,Alive,24,in lake,0
10211,8/6/02,HYRE,Tadpole,Alive,13,in lake,0
10211,8/6/02,RAMU,Adult,Alive,7,in lake,0
10211,8/6/02,RAMU,SubAdult,Alive,5,in lake,0
10211,8/6/02,RAMU,Tadpole,Alive,4,in lake,0
10212,7/10/97,HYRE,Adult,Alive,1,in lake,0
10212,7/10/97,HYRE,Tadpole,Alive,1,in lake,0
10212,7/10/97,RAMU,Adult,Alive,4,in lake,0
10212,7/10/97,RAMU,SubAdult,Alive,5,in lake,0
10212,8/6/02,RAMU,Adult,Alive,2,in lake,0
10212,8/6/02,RAMU,SubAdult,Alive,4,in lake,0
10212,8/6/02,RAMU,SubAdult,Alive,2,inlet,0
10213,7/10/97,HYRE,Tadpole,Alive,350,fringing habitat,0
10213,7/10/97,HYRE,Tadpole,Alive,50,in lake,0
10213,7/10/97,RAMU,Adult,Alive,4,fringing habitat,0
10213,7/10/97,RAMU,Adult,Alive,7,in lake,0
10213,7/10/97,RAMU,SubAdult,Alive,2,in lake,0
10213,7/10/97,RAMU,Tadpole,Alive,10,in lake,0
10213,8/6/02,HYRE,SubAdult,Alive,1,in lake,0
10213,8/6/02,HYRE,Tadpole,Alive,40,in lake,0
10213,8/6/02,RAMU,Adult,Alive,5,in lake,0
10213,8/6/02,RAMU,SubAdult,Alive,11,in lake,0
10214,7/9/97,HYRE,Tadpole,Alive,110,in lake,0
10214,7/9/97,RAMU,Adult,Alive,5,in lake,0
10214,7/9/97,RAMU,SubAdult,Alive,2,in lake,0
10214,7/9/97,RAMU,Tadpole,Alive,30,in lake,0
10214,8/6/02,HYRE,SubAdult,Alive,2,in lake,0
10214,8/6/02,HYRE,Tadpole,Alive,210,in lake,0
10214,8/6/02,RAMU,Adult,Alive,2,in lake,0
10214,8/6/02,RAMU,SubAdult,Alive,4,in lake,0
10214,8/6/02,RAMU,Tadpole,Alive,10,in lake,0
10215,7/9/97,RAMU,Adult,Alive,1,fringing habitat,0
10215,7/9/97,RAMU,Adult,Alive,5,in lake,0
10215,7/9/97,RAMU,SubAdult,Alive,2,in lake,0
10215,7/9/97,RAMU,Tadpole,Alive,1,fringing habitat,0
10215,8/6/02,RAMU,Adult,Alive,5,in lake,0
10215,8/6/02,RAMU,Adult,Alive,1,outlet,0
10215,8/6/02,RAMU,SubAdult,Alive,4,in lake,0
10215,8/6/02,RAMU,SubAdult,Alive,1,outlet,0
10215,8/6/02,RAMU,Tadpole,Alive,55,in lake,0
10216,7/9/97,HYRE,Adult,Alive,2,fringing habitat,0
10216,7/9/97,RAMU,Adult,Alive,3,fringing habitat,0
10216,7/9/97,RAMU,Adult,Alive,23,in lake,0
10216,7/9/97,RAMU,SubAdult,Alive,1,fringing habitat,0
10216,7/9/97,RAMU,SubAdult,Alive,19,in lake,0
10216,7/9/97,RAMU,Tadpole,Alive,3,in lake,0
10216,8/5/02,HYRE,Tadpole,Alive,79,fringing habitat,0
10216,8/5/02,HYRE,Tadpole,Alive,27,in lake,0
10216,8/5/02,RAMU,Adult,Alive,1,fringing habitat,0
10216,8/5/02,RAMU,Adult,Alive,4,in lake,0
10216,8/5/02,RAMU,SubAdult,Alive,4,fringing habitat,0
10216,8/5/02,RAMU,SubAdult,Alive,13,in lake,0
10216,8/5/02,RAMU,Tadpole,Alive,6,in lake,0
10217,6/29/97,RAMU,Adult,Alive,12,in lake,0
10217,6/29/97,RAMU,SubAdult,Alive,25,in lake,0
10217,6/29/97,RAMU,Tadpole,Alive,3,in lake,0
10217,8/6/02,RAMU,Adult,Alive,74,in lake,0
10217,8/6/02,RAMU,Adult,Alive,3,inlet,0
10217,8/6/02,RAMU,Adult,Alive,1,outlet,0
10217,8/6/02,RAMU,SubAdult,Alive,67,in lake,0
10217,8/6/02,RAMU,SubAdult,Alive,2,inlet,0
10217,8/6/02,RAMU,SubAdult,Alive,2,outlet,0
10217,8/6/02,RAMU,Tadpole,Alive,394,in lake,0
10218,6/30/97,RAMU,Adult,Alive,3,in lake,0
10218,6/30/97,RAMU,EggMass,Alive,1,in lake,0
10218,6/30/97,RAMU,SubAdult,Alive,2,fringing habitat,0
10218,6/30/97,RAMU,SubAdult,Alive,5,in lake,0
10218,8/5/02,HYRE,Tadpole,Alive,213,in lake,0
10218,8/5/02,RAMU,Adult,Alive,3,fringing habitat,0
10218,8/5/02,RAMU,Adult,Alive,47,in lake,0
10218,8/5/02,RAMU,SubAdult,Alive,12,in lake,0
10218,8/5/02,RAMU,Tadpole,Alive,161,in lake,0
10219,6/29/97,HYRE,Adult,Alive,2,fringing habitat,0
10219,6/29/97,RAMU,Adult,Alive,10,fringing habitat,0
10219,6/29/97,RAMU,Adult,Alive,2,in lake,0
10219,6/29/97,RAMU,SubAdult,Alive,2,fringing habitat,0
10219,6/29/97,RAMU,SubAdult,Alive,6,in lake,0
10219,8/5/02,HYRE,Tadpole,Alive,500,fringing habitat,0
10219,8/5/02,HYRE,Tadpole,Alive,4,in lake,0
10219,8/5/02,RAMU,Adult,Alive,32,in lake,0
10219,8/5/02,RAMU,Adult,Alive,1,outlet,0
10219,8/5/02,RAMU,SubAdult,Alive,69,in lake,0
10219,8/5/02,RAMU,Tadpole,Alive,260,in lake,0
10219,8/5/02,RAMU,Tadpole,Alive,15,inlet,0
10219,8/5/02,RAMU,Tadpole,Alive,1,outlet,0
10220,8/5/02,RAMU,Adult,Alive,2,in lake,0
10220,8/5/02,RAMU,SubAdult,Alive,1,in lake,0
10220,8/5/02,RAMU,Tadpole,Alive,93,in lake,0
10222,7/16/97,RAMU,Adult,Alive,41,in lake,0
10222,7/16/97,RAMU,SubAdult,Alive,1,in lake,0
10222,7/16/97,RAMU,Tadpole,Alive,4,in lake,0
10222,8/7/02,RAMU,Adult,Alive,132,in lake,0
10222,8/7/02,RAMU,SubAdult,Alive,190,in lake,0
10222,8/7/02,RAMU,Tadpole,Alive,4600,in lake,0
10223,7/12/97,RAMU,Adult,Alive,13,fringing habitat,0
10223,7/12/97,RAMU,Adult,Alive,452,in lake,0
10223,7/12/97,RAMU,SubAdult,Alive,18,in lake,0
10223,7/12/97,RAMU,Tadpole,Alive,311,in lake,0
10223,8/7/02,RAMU,Adult,Alive,150,in lake,0
10223,8/7/02,RAMU,Adult,Dead,3,in lake,0
10223,8/7/02,RAMU,SubAdult,Alive,1770,in lake,0
10223,8/7/02,RAMU,Tadpole,Alive,3175,in lake,5
10224,7/13/97,HYRE,Adult,Alive,10,fringing habitat,0
10224,7/13/97,HYRE,Tadpole,Alive,1500,fringing habitat,0
10224,7/13/97,RAMU,Adult,Alive,3,fringing habitat,0
10224,7/13/97,RAMU,Adult,Alive,1,in lake,0
10224,7/13/97,RAMU,SubAdult,Alive,1,in lake,0
10224,8/7/02,HYRE,Tadpole,Alive,700,fringing habitat,0
10224,8/7/02,HYRE,Tadpole,Alive,122,in lake,0
10224,8/7/02,RAMU,Adult,Alive,4,fringing habitat,0
10224,8/7/02,RAMU,Adult,Alive,2,in lake,0
10224,8/7/02,RAMU,SubAdult,Alive,7,fringing habitat,0
10224,8/7/02,RAMU,SubAdult,Alive,12,in lake,0
10224,8/7/02,RAMU,Tadpole,Alive,72,fringing habitat,0
10224,8/7/02,RAMU,Tadpole,Alive,1,in lake,0
10225,7/16/97,RAMU,Adult,Alive,22,fringing habitat,0
10225,7/16/97,RAMU,Adult,Alive,429,in lake,0
10225,7/16/97,RAMU,SubAdult,Alive,166,in lake,0
10225,7/16/97,RAMU,Tadpole,Alive,801,in lake,0
10225,8/7/02,RAMU,Adult,Alive,4,fringing habitat,0
10225,8/7/02,RAMU,Adult,Alive,145,in lake,0
10225,8/7/02,RAMU,SubAdult,Alive,28,fringing habitat,0
10225,8/7/02,RAMU,SubAdult,Alive,684,in lake,0
10225,8/7/02,RAMU,Tadpole,Alive,37,fringing habitat,0
10225,8/7/02,RAMU,Tadpole,Alive,3361,in lake,5
10226,7/13/97,HYRE,SubAdult,Alive,1,in lake,0
10226,7/13/97,RAMU,Adult,Alive,4,fringing habitat,0
10226,7/13/97,RAMU,Adult,Alive,4,in lake,0
10226,7/13/97,RAMU,SubAdult,Alive,1,in lake,0
10226,7/13/97,RAMU,Tadpole,Alive,3,in lake,0
10226,8/8/02,HYRE,Adult,Alive,1,in lake,0
10226,8/8/02,HYRE,SubAdult,Alive,2,in lake,0
10226,8/8/02,HYRE,Tadpole,Alive,55,fringing habitat,0
10226,8/8/02,HYRE,Tadpole,Alive,20,in lake,0
10226,8/8/02,RAMU,Adult,Alive,1,fringing habitat,0
10226,8/8/02,RAMU,Adult,Alive,14,in lake,0
10226,8/8/02,RAMU,Adult,Alive,2,inlet,0
10226,8/8/02,RAMU,Adult,Alive,1,outlet,0
10226,8/8/02,RAMU,SubAdult,Alive,13,fringing habitat,0
10226,8/8/02,RAMU,SubAdult,Alive,100,in lake,0
10226,8/8/02,RAMU,SubAdult,Alive,1,inlet,0
10226,8/8/02,RAMU,SubAdult,Alive,1,outlet,0
10226,8/8/02,RAMU,Tadpole,Alive,8,in lake,0
10227,7/17/97,RAMU,Adult,Alive,4,fringing habitat,0
10227,7/17/97,RAMU,Adult,Alive,95,in lake,0
10227,7/17/97,RAMU,SubAdult,Alive,1,fringing habitat,0
10227,7/17/97,RAMU,SubAdult,Alive,22,in lake,0
10227,7/17/97,RAMU,Tadpole,Alive,610,in lake,0
10227,8/7/02,RAMU,Adult,Alive,21,in lake,0
10227,8/7/02,RAMU,SubAdult,Alive,74,in lake,0
10227,8/7/02,RAMU,Tadpole,Alive,431,in lake,0
10228,7/17/97,HYRE,Tadpole,Alive,4010,fringing habitat,0
10228,7/17/97,RAMU,Adult,Alive,900,fringing habitat,0
10228,7/17/97,RAMU,EggMass,Alive,18,in lake,0
10228,7/17/97,RAMU,SubAdult,Alive,201,fringing habitat,0
10228,7/17/97,RAMU,Tadpole,Alive,210,in lake,0
10228,8/7/02,HYRE,Tadpole,Alive,25,in lake,0
10228,8/7/02,RAMU,Adult,Alive,36,in lake,0
10228,8/7/02,RAMU,SubAdult,Alive,75,in lake,0
10228,8/7/02,RAMU,SubAdult,Alive,2,outlet,0
10228,8/7/02,RAMU,Tadpole,Alive,880,in lake,0
10230,7/26/97,HYRE,Adult,Alive,1,in lake,0
10230,7/26/97,RAMU,Adult,Alive,3,in lake,0
10230,8/8/02,RAMU,Adult,Alive,1,in lake,0
10230,8/8/02,RAMU,Tadpole,Alive,27,in lake,0
10232,8/2/97,RAMU,Adult,Alive,1,fringing habitat,0
10232,8/2/97,RAMU,Adult,Alive,1,in lake,0
10233,7/31/97,RAMU,SubAdult,Alive,2,in lake,0
10236,8/22/97,HYRE,Tadpole,Alive,87,in lake,0
10236,8/22/97,RAMU,SubAdult,Alive,1,in lake,0
10236,8/22/97,RAMU,Tadpole,Alive,63,in lake,0
10237,8/25/97,HYRE,Adult,Alive,1,in lake,0
10237,8/25/97,HYRE,Tadpole,Alive,281,fringing habitat,0
10237,8/25/97,RAMU,SubAdult,Alive,5,in lake,0
10237,8/25/97,RAMU,Tadpole,Alive,365,in lake,0
10237,8/27/02,HYRE,SubAdult,Alive,10,in lake,0
10237,8/27/02,HYRE,Tadpole,Alive,16,in lake,0
10237,8/27/02,THEL,Adult,Alive,1,in lake,0
10238,8/23/97,RAMU,Tadpole,Alive,10,in lake,0
10239,8/23/97,RAMU,Tadpole,Alive,2,in lake,0
10240,8/24/97,HYRE,Tadpole,Alive,50,fringing habitat,0
